Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
FileName,string,1,1,Name of the file being merged.  May be the name of an active dataframe.,,,,,,,,,,,,,
MergeType,string,1,1,Describes the type of merge performed. ,,,,,Sequential OneToOne ManyToOne OneToMany Cartesian Unmatched SASmatchMerge,,,,,,,,
MergeFlagVariable,string,0,1,Name of a new variable indicating whether the row came from this file or a different input file.,,,,,,,,,,,,,
RenameVariables,RenamePair,0,n,Variables to be renamed,,TRUE,,,,,,,,,,,
Overlap,string,1,1,"Outcome when the same variables exist in more than one file. ""Master"" is the default value.  ""Ignore"" means values in this file are never used.  ""FillNew is used on rows not found in the """"Master"""" data frame.  """"UpdateMissing"""" replaces missing values in the """"Master"""" datafram. ""Replace"" changes all values in the """"Master"""" dataframe.""",,,,,Master Ignore FillNew UpdateMissing Replace,,,,,,,,
NewRow,boolean,1,1,"When TRUE,  generate new row when not matched to other files",,,,,,,,,,,,,
KeepVariables,VariableReferenceBase,0,n,List of variables to keep,,TRUE,,,,,,,,,,,
DropVariables,VariableReferenceBase,0,n,List of variables to drop,,TRUE,,,,,,,,,,,
KeepCasesCondition,ExpressionBase,0,1,Logical condition for keeping rows.,,TRUE,,,,,,,,,,,
DropCasesCondition,ExpressionBase,0,1,Logical condition for dropping rows.,,TRUE,,,,,,,,,,,
