Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
SourceFileName,string,0,1,The name of the file containing the source code.,,,,,,,,,,,,,
SourceLanguage,string,0,1,The language of the source code.,,,,,,,,,,,,,
ScriptMD5,string,0,1,The MD5 hash of the contents of the file.,,,,,,,,,,,,,
ScriptSHA1,string,0,1,The SHA-1 hash of the contents of the file.,,,,,,,,,,,,,
SourceFileLastUpdate,dateTime,0,1,The date and time the file was last updated.,,,,,,,,,,,,,
SourceFileSize,long,0,1,The size of the file in bytes.,,,,,,,,,,,,,
LineCount,int,0,1,The number of lines in the source file.,,,,,,,,,,,,,
CommandCount,int,0,1,The number of commands detected in the source file.,,,,,,,,,,,,,
Messages,Message,0,n,Messages related to the parsing of the source file.,,,,,,,,,,,,,
Parser,string,0,1,The name of the parser used to generate the SDTL.,,,,,,,,,,,,,
ParserVersion,string,0,1,The version of the parser used to generate the SDTL.,,,,,,,,,,,,,
ModelVersion,string,0,1,The version of the SDTL model.,,,,,,,,,,,,,
ModelCreatedTime,dateTime,0,1,The date and time the SDTL was generated.,,,,,,,,,,,,,
Commands,TransformBase,0,n,The list of commands that make up the program.,true,true,,,,,,,,,,,
